"","AF293.Hypoxia.r1","AF293.Hypoxia.r2","AF293.Hypoxia.r3","Delta_eefA_AF293.Hypoxia.r1","Delta_eefA_AF293.Hypoxia.r2","Delta_eefA_AF293.Hypoxia.r3","eefA_OE.Hypoxia.r1","eefA_OE.Hypoxia.r2","eefA_OE.Hypoxia.r3","eefA_REV.Hypoxia.r1","eefA_REV.Hypoxia.r3","EVOL.Hypoxia.r1","EVOL.Hypoxia.r2","EVOL.Hypoxia.r3"
"Afu1g03150-T",23012,10181,16168,14143,11474,25615,6957,7604,10719,10107,10205,4776,4186,3654
"Afu1g03160-T",15,4,12,5,3,14,1,3,4,8,6,1,0,3
"Afu1g03170-T",85,19,81,37,29,87,0,12,5,16,31,10,7,10
"Afu1g03180-T",86,23,40,57,26,62,10,1,8,8,10,60,47,28
"Afu1g03190-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03195-T",24,9,15,9,3,31,1,3,3,3,10,16,5,5
"Afu1g03200-T",363,119,211,201,119,507,75,110,146,240,368,242,270,136
"Afu1g03210-T",1,1,0,0,3,3,1,3,2,2,5,3,0,0
"Afu1g03220-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03230-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03240-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03250-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03260-T",1,0,0,0,0,1,0,0,0,0,0,1,1,1
"Afu1g03270-T",0,0,0,0,1,0,0,0,0,0,0,1,0,1
"Afu1g03280-T",4,0,0,0,0,0,0,1,0,0,2,0,3,2
"Afu1g03290-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03300-T",4,0,0,1,0,4,0,0,0,0,0,0,0,0
"Afu1g03310-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03320-T",2,0,1,0,2,2,0,0,0,0,0,0,0,1
"Afu1g03352-T",354,249,206,300,234,616,6,9,5,158,208,3346,2707,1475
"Afu1g03360-T",4,3,5,4,10,6,0,0,0,9,12,98,101,40
"Afu1g03370-T",67,31,58,39,31,61,10,38,19,62,81,88,68,46
"Afu1g03380-T",174,86,137,143,79,171,116,253,286,220,394,249,236,232
"Afu1g03390-T",1439,636,598,1018,692,1331,234,382,360,447,835,1551,1081,1088
"Afu1g03400-T",1267,539,893,881,458,1460,451,733,648,344,624,350,231,213
"Afu1g03410-T",71,26,38,35,33,59,20,34,49,35,58,70,44,39
"Afu1g03420-T",27,12,11,21,4,32,12,8,9,7,13,18,19,13
"Afu1g03430-T",191,90,126,147,95,219,48,62,68,48,122,64,54,51
"Afu1g03440-T",45,20,39,34,13,53,9,26,16,21,25,40,18,39
"Afu1g03450-T",136,63,109,88,68,147,30,53,57,38,53,39,26,24
"Afu1g03460-T",161,77,119,117,53,187,76,135,98,98,173,86,55,56
"Afu1g03470-T",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Afu1g03480-T",6,2,2,0,1,4,0,0,0,0,1,0,0,0
"Afu1g03490-T",73,21,49,13,17,68,15,27,17,34,28,6,6,12
"Afu1g03500-T",1560,738,1151,1147,875,1830,780,1296,1382,1070,1621,1121,1007,772
"Afu1g03510-T",2667,1239,1707,1824,1099,2877,1223,1436,1187,1574,1986,3182,2434,2097
"Afu1g03520-T",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Afu1g03530-T",599,239,385,382,297,747,138,190,244,220,459,283,202,179
"Afu1g03540-T",35,10,26,13,6,33,14,26,24,41,52,39,17,21
"Afu1g03550-T",170,59,119,112,49,174,36,83,67,41,85,42,24,34
"Afu1g03560-T",77,33,59,32,30,65,7,17,36,21,40,48,26,52
"Afu1g03570-T",1,0,3,1,1,4,1,2,0,6,6,8,6,13
"Afu1g03580-T",29,5,10,8,11,29,2,4,2,1,1,0,0,0
"Afu1g03590-T",55,10,41,18,9,38,6,14,11,26,24,15,7,14
"Afu1g03600-T",641,529,450,647,841,1059,213,255,260,492,956,520,479,443
"Afu1g03610-T",56949,21989,36226,32124,26863,69805,19880,21150,25127,6111,10972,5523,4852,4184
"Afu1g03620-T",115,50,78,89,74,151,87,125,137,113,153,49,54,41
"Afu1g03630-T",6815,4316,5217,5895,4109,9729,5667,7889,7730,7123,9895,7197,6187,6077
"Afu1g03640-T",12,4,1,2,2,10,1,4,4,5,11,15,4,7
"Afu1g03650-T",1277,884,971,1207,867,1430,326,412,422,1382,1852,2069,1681,1431
"Afu1g03660-T",406,218,305,305,333,441,81,102,143,304,469,1032,822,607
"Afu1g03670-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03680-T",2251,1173,1592,1775,1354,2921,1221,1680,1769,1192,2025,1112,812,773
"Afu1g03690-T",83,31,48,49,36,68,28,28,33,10,25,23,23,24
"Afu1g03700-T",25,1,15,11,5,14,2,14,8,21,8,13,6,5
"Afu1g03710-T",567,277,419,402,276,713,214,395,392,316,556,583,499,405
"Afu1g03720-T",4273,1618,2782,2830,2365,4885,828,1310,1860,1620,3534,2628,2505,1640
"Afu1g03730-T",1821,909,1197,1274,860,1934,676,893,1027,556,1002,305,255,206
"Afu1g03740-T",156,56,125,106,33,150,10,20,36,28,65,19,14,20
"Afu1g03750-T",86,37,38,60,36,65,25,29,32,25,38,18,11,18
"Afu1g03760-T",420,192,258,256,138,353,98,194,154,177,270,137,87,89
"Afu1g03775-T",76,28,42,46,41,70,12,22,14,43,69,71,61,43
"Afu1g03790-T",171,67,116,118,65,157,79,114,98,121,170,181,180,108
"Afu1g03800-T",247,125,125,201,138,237,68,81,97,141,207,298,227,243
"Afu1g03810-T",108,38,63,63,33,117,19,24,45,24,26,25,20,15
"Afu1g03820-T",16,9,7,13,7,12,11,27,11,27,25,16,14,7
"Afu1g03830-T",41,16,23,29,14,42,1,9,22,13,26,14,11,14
"Afu1g03840-T",199,63,142,121,97,239,58,89,100,76,119,88,78,86
"Afu1g03860-T",33,18,29,30,20,33,15,15,23,12,23,13,13,19
"Afu1g03870-T",52,16,30,32,21,74,15,13,19,13,18,24,5,6
"Afu1g03880-T",288,174,227,301,204,415,133,191,172,164,238,169,124,106
"Afu1g03890-T",683,309,395,428,251,730,243,344,427,283,388,228,177,144
"Afu1g03910-T",418,151,254,266,187,424,166,214,276,177,240,136,103,69
"Afu1g03920-T",69,24,60,40,15,49,16,41,38,40,43,47,50,42
"Afu1g03930-T",943,343,517,524,286,897,117,303,240,291,405,295,225,187
"Afu1g03940-T",4544,1963,2935,3014,2080,5394,1730,2460,2528,1552,2448,2243,1954,1172
"Afu1g03950-T",1501,751,1000,1070,714,1633,360,483,408,820,1080,1029,823,836
"Afu1g03960-T",945,399,540,690,429,1194,317,453,674,362,655,242,169,131
"Afu1g03970-T",822,388,392,608,346,666,166,388,245,356,494,398,274,272
"Afu1g03992-T",1916,849,988,1321,1034,2020,585,973,868,866,1314,792,654,567
"Afu1g04010-T",167,39,67,77,52,142,7,26,23,19,23,12,13,13
"Afu1g04020-T",428,156,264,271,178,440,89,125,183,98,149,87,73,66
"Afu1g04040-T",2182,957,1182,1377,929,2047,464,774,811,1105,1509,2503,2093,1517
"Afu1g04062-T",126,36,84,71,62,131,15,38,26,35,60,46,42,43
"Afu1g04070-T",8393,3315,4883,5352,4481,8635,2224,3360,4703,3737,5935,6978,6225,3916
"Afu1g04080-T",848,349,546,550,413,910,180,260,264,173,270,115,89,73
"Afu1g04090-T",40,14,22,22,9,36,7,8,19,4,22,11,2,3
"Afu1g04100-T",314,125,206,221,154,462,156,172,294,169,266,18,13,14
"Afu1g04110-T",18,12,17,11,10,18,10,6,12,9,15,7,7,6
"Afu1g04120-T",51,28,52,49,73,63,30,39,46,44,76,50,39,32
"Afu1g04130-T",1164,656,609,980,696,1606,8,20,18,139,346,70,56,24
"Afu1g04140-T",41,26,27,42,44,44,1,4,7,3,19,2,3,2
"Afu1g04150-T",194,41,54,92,51,294,14,13,17,8,22,5,7,4
"Afu1g04160-T",78,43,82,99,79,143,46,63,107,37,81,27,13,29
"Afu1g04170-T",261,124,225,146,130,301,92,155,166,106,162,57,38,75
"Afu1g04190-T",227,81,79,162,100,188,99,286,183,473,637,550,386,472
"Afu1g04210-T",388,154,249,274,143,402,138,269,233,206,283,140,97,73
"Afu1g04220-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g04230-T",31,10,17,15,7,28,4,11,17,19,27,25,20,23
"Afu1g04240-T",123,91,83,158,80,153,54,85,111,130,193,105,58,91
"Afu1g04250-T",74,47,58,62,44,101,39,68,81,43,83,102,74,57
"Afu1g04260-T",272,168,159,230,124,323,68,85,162,116,195,67,58,73
"Afu1g04270-T",2611,905,1107,1536,940,2644,334,470,482,391,619,137,76,102
"Afu1g04280-T",544,239,357,342,191,550,173,285,287,237,342,464,414,299
"Afu1g04290-T",329,137,217,217,114,327,130,207,242,145,251,344,195,230
"Afu1g04300-T",1523,176,540,343,87,1345,19,48,53,88,84,3,0,0
"Afu1g04310-T",397,62,186,126,71,408,22,37,61,22,50,10,9,5
"Afu1g04315-T",1897,824,1193,1358,1093,2608,682,816,1446,748,1554,1005,845,720
"Afu1g04320-T",4218,1815,1959,2602,1696,3865,1100,1595,1475,1899,3027,3607,2506,2535
"Afu1g04330-T",148,155,89,211,160,168,85,127,174,156,271,80,80,47
"Afu1g04340-T",118,56,127,84,34,111,22,59,61,56,82,127,78,76
"Afu1g04350-T",16,5,11,7,5,14,2,1,3,4,13,5,4,2
"Afu1g04360-T",340,147,237,205,103,278,58,127,94,81,164,98,74,76
"Afu1g04370-T",15,6,11,20,5,20,13,29,19,79,77,52,34,41
"Afu1g04380-T",78,27,50,64,31,78,32,51,60,38,52,88,57,53
"Afu1g04390-T",103,13,69,40,14,76,4,6,8,5,14,14,19,17
"Afu1g04400-T",31,32,38,28,16,67,25,31,37,48,38,29,22,18
"Afu1g04410-T",127,54,80,84,50,124,39,115,87,91,137,113,79,78
"Afu1g04420-T",13,2,9,13,3,12,3,4,4,2,6,2,7,6
"Afu1g04430-T",66,22,40,27,15,115,4,5,6,2,10,8,2,4
"Afu1g04440-T",279,124,134,227,157,302,130,259,327,129,266,88,48,76
"Afu1g04450-T",2530,1275,1495,1814,1264,3327,1392,1809,1710,988,1345,538,365,293
"Afu1g04455-T",2,4,1,4,1,11,4,3,2,3,3,2,1,0
"Afu1g04460-T",100,45,63,58,41,92,31,41,40,53,68,108,81,69
"Afu1g04470-T",34,4,15,13,13,22,2,6,7,8,10,11,10,6
"Afu1g04480-T",45,29,32,58,39,58,31,76,81,55,135,30,24,34
"Afu1g04490-T",585,207,433,378,292,691,121,171,263,118,205,136,112,66
"Afu1g04510-T",17,5,12,6,9,10,6,10,12,22,17,29,13,21
"Afu1g04520-T",90,28,67,34,35,58,15,14,24,28,30,29,26,22
"Afu1g04530-T",1486,860,846,1098,724,1358,467,706,582,937,1150,1735,1176,1098
"Afu1g04540-T",2338,1437,1644,2054,1171,2675,1505,1862,1474,1586,2261,1696,1161,1079
"Afu1g04550-T",1471,722,1066,1087,859,1719,520,648,916,687,1043,902,857,632
"Afu1g04560-T",909,547,755,764,505,1245,275,401,419,379,681,473,365,316
"Afu1g04570-T",18,13,24,18,15,41,7,14,2,17,12,11,9,15
"Afu1g04575-T",99,53,54,55,69,167,18,14,11,7,11,8,9,9
"Afu1g04580-T",27,10,38,17,10,42,2,10,7,4,11,14,4,16
"Afu1g04590-T",154,59,91,94,61,178,19,59,46,34,54,22,18,18
"Afu1g04600-T",60,18,23,21,11,62,47,48,49,36,51,47,47,45
"Afu1g04610-T",472,212,271,312,235,564,101,144,210,112,284,104,79,83
"Afu1g04620-T",4216,2180,2917,3217,2070,5010,5166,6808,7086,2877,4105,2554,1955,1661
"Afu1g04630-T",106,63,69,99,68,200,75,116,95,67,89,34,15,16
"Afu1g04640-T",638,311,470,476,342,754,177,264,252,160,270,168,119,139
"Afu1g04650-T",0.00176488577846369,8.97009862682966e-06,0,0.00148866815998684,0.0613024037248919,6.33379147030736e-07,0,0.000390032298614516,1.48505188048262e-08,0,0,13.905491199042,1.16060392569827e-08,0.00413939715978427
"Afu1g04660-T",6054,2566,3248,3689,2675,5778,1487,2287,2304,2655,3660,5959,4937,3936
"Afu1g04670-T",1846,1050,1394,1578,1021,2478,756,986,884,641,1078,505,488,342
"Afu1g04680-T",5097,2271,3221,3592,2880,6608,1759,2844,3297,3091,5444,1005,872,827
"Afu1g04690-T",103,41,50,53,61,126,19,22,29,42,68,26,13,22
"Afu1g04700-T",727,394,585,582,333,952,152,304,231,442,751,368,287,357
"Afu1g04710-T",40,25,20,12,21,35,4,15,15,13,35,10,3,9
"Afu1g04720-T",113,40,96,51,48,90,15,30,33,63,77,67,42,41
"Afu1g04730-T",51,22,35,28,29,35,8,13,18,17,12,22,21,24
"Afu1g04740-T",4,3,8,4,2,7,1,5,0,3,9,4,2,3
"Afu1g04750-T",172,145,182,222,244,277,238,414,439,646,997,159,100,169
"Afu1g04760-T",131,76,82,111,78,177,44,94,94,79,137,125,84,102
"Afu1g04770-T",94,31,82,63,29,92,10,16,12,17,24,23,14,19
"Afu1g04780-T",156,90,116,104,119,199,59,105,115,129,209,152,71,111
"Afu1g04790-T",616,282,373,432,339,725,210,310,261,312,405,183,119,151
"Afu1g04800-T",107,32,79,64,31,110,23,44,47,49,65,81,52,37
"Afu1g04810-T",119,28,66,75,56,131,25,47,54,34,131,85,71,50
"Afu1g04820-T",78,35,44,46,36,81,32,58,46,88,125,68,52,45
"Afu1g04830-T",6,1,11,9,6,6,2,3,3,5,7,4,5,6
"Afu1g04840-T",171,62,86,97,62,155,56,122,145,156,282,213,145,181
"Afu1g04850-T",24,8,8,9,8,28,3,7,11,3,9,13,6,5
"Afu1g04860-T",124,50,71,103,83,147,28,77,89,66,65,34,27,27
"Afu1g04870-T",14,8,14,12,13,20,4,10,2,12,6,39,28,31
"Afu1g04880-T",185,97,141,134,78,201,68,87,106,99,157,103,78,79
"Afu1g04890-T",474,292,380,431,277,637,250,280,380,300,447,273,211,183
"Afu1g04900-T",470,138,262,251,197,443,67,120,176,124,195,404,312,251
"Afu1g04910-T",452,165,348,227,219,614,92,140,217,126,280,96,81,84
"Afu1g04920-T",48,15,30,15,16,36,37,38,57,38,70,98,81,65
"Afu1g04930-T",1019,638,668,965,751,1407,599,816,706,671,855,337,223,305
"Afu1g04940-T",1835,1003,1255,1491,1129,2436,832,1099,1056,976,1324,882,649,607
"Afu1g04950-T",1241,565,859,990,567,1487,436,536,602,465,643,360,410,228
"Afu1g04960-T",1586,723,1204,999,680,1660,745,905,819,745,1143,2568,2595,1662
"Afu1g04970-T",1459,748,909,1180,844,1814,459,752,837,650,892,420,292,284
"Afu1g04980-T",47,19,42,23,11,54,17,17,13,20,22,17,10,17
"Afu1g04990-T",238,113,181,181,106,267,112,184,148,168,167,105,80,91
"Afu1g05000-T",6,1,2,0,1,1,0,1,2,1,2,2,0,1
"Afu1g05010-T",15,6,14,11,9,13,2,4,7,3,10,4,2,3
"Afu1g05020-T",37,17,43,24,14,29,10,47,33,88,104,37,24,45
"Afu1g05030-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g05040-T",2489,1493,2247,2438,3491,4351,1881,3388,3693,1797,4249,2140,1749,1790
"Afu1g05050-T",67,20,38,47,28,72,18,28,26,38,91,177,162,112
"Afu1g05060-T",881,388,566,558,260,914,315,465,401,395,518,962,717,582
"Afu1g05070-T",130,27,65,64,45,94,15,20,14,25,30,26,12,12
"Afu1g05080-T",1470,593,737,801,356,1164,201,390,274,687,797,1507,1132,1094
"Afu1g05090-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g05100-T",120,46,86,69,38,102,28,44,43,46,70,65,40,33
"Afu1g05110-T",60,40,39,31,31,57,21,63,53,75,113,78,42,46
"Afu1g05120-T",80,47,54,60,45,97,21,52,43,23,44,25,15,22
"Afu1g05130-T",2369,1372,1439,1970,1112,3240,1858,2981,2427,2209,2957,1842,1493,1318
"Afu1g05140-T",14,10,9,8,6,27,11,6,11,5,7,10,5,4
"Afu1g05150-T",8,5,2,7,0,6,6,29,14,34,52,23,10,18
"Afu1g05160-T",22,4,7,14,8,20,8,26,38,28,42,39,20,30
"Afu1g05170-T",71,62,53,88,94,91,54,69,90,76,186,220,174,167
"Afu1g05180-T",14,4,9,6,1,6,0,2,3,10,10,4,2,8
"Afu1g05190-T",900,511,654,795,440,1042,508,711,916,628,942,502,393,350
"Afu1g05200-T",863,441,411,621,393,689,271,536,431,610,845,721,516,508
"Afu1g05210-T",41,17,27,34,17,37,11,12,7,4,10,12,5,8
"Afu1g05220-T",1232,356,645,603,403,1268,114,193,311,120,329,90,93,48
"Afu1g05230-T",145,63,83,90,77,149,53,112,125,112,156,75,55,55
"Afu1g05240-T",2326,1163,1513,1638,1060,2975,894,1266,1139,1342,1836,943,770,601
"Afu1g05260-T",54,13,42,26,14,39,5,19,17,9,19,11,15,4
"Afu1g05270-T",32,10,22,13,5,26,7,11,15,4,10,7,5,8
"Afu1g05280-T",722,408,593,545,314,745,203,296,385,341,509,341,230,202
"Afu1g05290-T",38,11,14,17,12,40,2,8,2,2,15,1,6,2
"Afu1g05300-T",37,9,34,14,8,22,5,25,17,38,43,19,13,17
"Afu1g05310-T",25,15,9,11,8,11,15,51,26,115,115,54,44,39
"Afu1g05320-T",280,183,252,245,171,379,105,163,165,94,203,124,114,97
"Afu1g05330-T",15,3,13,10,4,12,0,2,1,7,8,3,2,3
"Afu1g05340-T",2666,1291,1421,1778,1221,2294,527,982,855,1316,1759,2302,1686,1683
"Afu1g05350-T",3,1,3,5,1,5,1,1,3,1,9,2,7,2
"Afu1g05360-T",48,20,23,16,10,52,8,17,19,3,15,4,2,8
"Afu1g05370-T",126,69,83,128,131,190,60,120,160,72,153,96,46,44
"Afu1g05380-T",214,307,142,499,362,268,292,443,571,291,617,42,19,29
"Afu1g05390-T",19227,11488,12888,15923,9906,20843,11474,14966,13143,20007,24370,33253,27733,23788
"Afu1g05400-T",0,0,0,2,0,0,0,0,0,1,0,1,0,0
"Afu1g05410-T",30,10,9,17,7,21,11,34,35,62,110,81,39,57
"Afu1g05420-T",179,64,170,109,48,183,40,92,78,65,91,37,34,22
"Afu1g05430-T",1,1,2,2,1,1,2,7,3,8,8,5,4,6
"Afu1g05440-T",5,3,7,1,1,7,3,15,7,13,14,12,2,10
"Afu1g05450-T",68,15,31,32,30,64,10,7,16,21,29,43,43,15
"Afu1g05460-T",265,152,183,205,176,330,115,148,140,121,229,192,154,110
"Afu1g05470-T",611,338,406,460,357,676,344,420,346,402,568,563,509,409
"Afu1g05480-T",103.017650731714,60.5781229479815,91.6804393966026,79.8529085336774,54.3715668118623,210.092322051778,19.0570884077313,19.0381031975346,38.3561418175344,23.1758068404073,33.6284808655886,40.0956986619934,33.3507528387816,12.1862520650347
"Afu1g05490-T",2392,1304,1656,1967,1208,2912,1732,2033,1710,1395,1710,2103,1643,1436
"Afu1g05500-T",2379,1024,1086,1538,1166,2172,530,737,868,907,1565,2542,1863,1584
"Afu1g05510-T",1036,606,651,833,611,1230,426,639,619,390,622,250,153,188
"Afu1g05520-T",326,157,197,302,202,401,192,197,298,81,118,87,43,72
"Afu1g05530-T",44,16,29,36,28,48,13,21,12,19,16,14,12,7
"Afu1g05540-T",501,688,320,1064,815,845,216,270,290,357,403,58,39,52
"Afu1g05550-T",4,4,2,10,4,12,2,3,0,1,5,1,1,0
"Afu1g05560-T",83,50,89,65,62,99,40,98,85,97,185,50,64,66
"Afu1g05570-T",75,37,62,28,25,99,11,22,31,14,20,6,7,5
"Afu1g05580-T",130,42,115,77,25,144,12,20,13,19,30,9,3,10
"Afu1g05590-T",162,65,112,126,97,226,83,101,135,42,61,30,26,27
"Afu1g05595-T",89,35,79,61,65,114,31,61,65,48,92,16,19,26
"Afu1g05600-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g05610-T",488,182,344,238,137,417,70,111,83,116,118,103,79,87
"Afu1g05620-T",429,176,242,289,156,372,191,339,247,314,443,938,676,538
"Afu1g05630-T",2927,1551,1705,2201,1524,2855,815,1163,1110,1720,2355,2712,2189,1945
"Afu1g05640-T",174,65,124,94,51,170,45,69,87,70,104,60,39,25
"Afu1g05650-T",103,48,53,62,39,93,33,70,47,44,54,76,70,43
"Afu1g05655-T",102,37,59,56,34,80,9,37,29,18,36,13,11,20
"Afu1g05660-T",15,5,21,18,9,23,5,11,9,4,24,15,7,9
"Afu1g05670-T",34,21,28,44,26,46,12,17,13,9,23,13,6,14
"Afu1g05680-T",286,162,164,231,165,405,305,363,296,280,284,141,88,124
"Afu1g05690-T",476,189,233,294,166,559,219,302,319,160,169,6,1,3
"Afu1g05700-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g05710-T",34,11,20,20,14,26,3,10,2,61,19,8,5,6
"Afu1g05720-T",1451,701,784,968,663,1657,411,591,890,466,758,246,169,197
"Afu1g05730-T",205,119,145,165,102,249,80,120,163,92,151,117,97,63
"Afu1g05740-T",107,65,79,93,44,119,36,52,54,43,79,54,28,46
"Afu1g05745-T",1055,477,649,694,464,1378,154,249,310,251,318,54,45,37
"Afu1g05750-T",299,224,217,332,316,402,162,275,277,240,380,280,277,193
"Afu1g05760-T",556,394,446,553,504,765,350,445,460,376,660,465,456,297
"Afu1g05770-T",95,70,76,128,100,148,306,513,549,90,124,90,63,92
"Afu1g05780-T",46,35,30,42,26,66,7,9,8,3,17,2,1,4
"Afu1g05790-T",14721,9674,12496,13149,9175,19964,6298,9862,9904,15010,20836,13314,11169,10708
"Afu1g05800-T",1690,819,1203,1307,802,2192,413,679,687,518,935,408,330,344
"Afu1g05810-T",209,79,138,127,47,205,43,80,67,47,71,38,21,24
"Afu1g05820-T",255,94,152,134,92,213,52,108,142,89,157,171,155,107
"Afu1g05830-T",3846,2582,2919,3710,3270,5709,3555,4523,4162,2455,3574,1964,1670,1357
"Afu1g05840-T",4667,2667,3222,3869,2371,6651,3034,4176,3781,2617,3455,899,756,682
"Afu1g05850-T",1872,1085,1316,1571,1387,2800,606,656,1002,658,1081,230,215,252
"Afu1g05860-T",75,35,42,44,46,97,14,29,28,16,17,3,2,5
"Afu1g05870-T",1104,448,593,685,392,1404,341,481,625,399,671,109,76,71
"Afu1g05880-T",3,1,4,7,5,10,1,2,1,4,1,2,0,2
"Afu1g05890-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g05900-T",563,291,382,441,304,697,220,428,367,477,644,515,363,361
"Afu1g05910-T",174,62,120,94,56,214,31,45,47,34,56,9,14,13
"Afu1g05920-T",390,149,242,294,166,377,128,229,261,208,350,285,195,192
"Afu1g05930-T",777,480,595,685,442,954,244,250,371,216,313,259,189,191
"Afu1g05940-T",8,5,5,5,4,8,1,1,2,1,7,1,3,1
"Afu1g05950-T",211,91,133,134,134,294,138,160,126,97,123,89,67,59
"Afu1g05960-T",185,116,139,134,112,224,42,58,70,79,138,43,29,36
"Afu1g05970-T",1049,619,769,903,708,1484,1275,1598,1393,574,869,447,368,395
"Afu1g05980-T",301,130,209,198,185,393,372,445,425,211,332,231,179,173
"Afu1g05990-T",3209,1276,1664,2024,1373,2653,530,825,776,1050,1700,2189,1653,1561
"Afu1g06000-T",903,364,538,597,451,1780,149,232,319,188,391,191,139,144
"Afu1g06010-T",339.808581991723,176.264852915275,137.28826929013,290.038893242023,218.493704732925,659.636738902793,0,0,65.6699818607166,37.3762992651779,0,25.4303211384006,0,11.5016575171443
"Afu1g06020-T",8274,4672,5385,7347,5790,12208,4301,6619,6309,5785,8005,3707,2939,2675
"Afu1g06030-T",304,100,210,150,81,254,51,111,65,104,106,52,38,33
"Afu1g06040-T",312,123,184,182,186,512,126,183,183,208,267,75,64,66
"Afu1g06050-T",1143,571,788,952,710,1725,448,422,664,335,571,201,178,136
"Afu1g06060-T",3636,1837,2450,2678,1658,4604,2384,3470,3154,2321,2909,1502,1209,1071
"Afu1g06071-T",2293,1257,1511,1983,1158,3254,1614,2039,2001,1370,1753,368,272,219
"Afu1g06080-T",786,330,447,549,284,841,267,408,516,353,634,283,189,208
"Afu1g06090-T",451,312,367,388,252,554,153,218,224,204,256,108,96,68
"Afu1g06100-T",15,17,8,11,10,11,5,5,8,3,6,4,1,1
"Afu1g06110-T",3358,1714,2286,2929,1980,4245,1491,1882,2513,2026,3059,2049,1664,1248
"Afu1g06120-T",9,0,2,6,0,9,2,1,1,1,2,6,0,2
"Afu1g06130-T",13,2,5,1,4,10,0,0,2,2,2,4,3,2
"Afu1g06140-T",25,5,5,5,3,19,0,1,7,3,10,6,6,9
"Afu1g06150-T",62,40,43,49,31,86,12,31,21,38,118,107,52,155
"Afu1g06160-T",72,45,70,50,34,104,19,42,26,41,50,36,21,28
"Afu1g06170-T",4469,1792,2853,3195,2491,5391,1843,2771,3770,1949,3313,2349,1912,1225
"Afu1g06180-T",352,147,228,180,116,338,124,185,160,128,208,342,257,211
"Afu1g06190-T",32,26,22,22,15,40,27,120,70,197,248,207,152,183
"Afu1g06200-T",93,82,89,130,90,108,48,76,107,50,116,46,30,26
"Afu1g06210-T",499,287,416,416,245,506,276,342,345,232,377,217,182,164
"Afu1g06220-T",9,5,3,10,4,13,11,25,25,37,48,35,14,30
"Afu1g06230-T",27,11,5,7,9,11,10,30,31,63,95,54,33,50
"Afu1g06240-T",567,212,349,351,209,572,102,119,177,107,201,335,253,191
"Afu1g06250-T",295,141,191,279,190,359,104,133,203,75,158,93,66,46
"Afu1g06260-T",52,29,41,31,14,47,10,21,31,29,36,23,28,23
"Afu1g06270-T",20,13,16,22,5,21,2,5,7,4,6,5,3,1
"Afu1g06280-T",427,172,247,256,160,433,89,162,163,139,242,147,135,119
"Afu1g06290-T",161,64,69,106,66,175,42,104,96,107,169,266,198,153
"Afu1g06300-T",750,248,519,513,311,861,125,208,354,165,263,270,206,144
"Afu1g06310-T",208,59,131,120,49,165,47,95,95,80,104,61,46,69
"Afu1g06320-T",5124,2686,3551,4462,3712,7041,1657,1485,2528,875,1560,517,456,378
"Afu1g06330-T",2060,1516,1618,2352,1847,2969,1276,1422,1841,1039,1747,1327,1113,935
"Afu1g06340-T",4565,1612,2289,2479,1986,3984,684,1205,1529,1421,2295,3742,3215,2329
"Afu1g06350-T",379,169,224,252,154,438,67,132,68,325,491,347,339,307
"Afu1g06360-T",23,9,20,14,9,31,2,15,16,11,10,16,8,12
"Afu1g06370-T",108,22,60,40,29,74,22,41,32,25,44,34,19,14
"Afu1g06380-T",1,1,0,1,2,3,2,3,4,6,9,13,8,6
"Afu1g06390-T",17093,7122,9094,10106,5646,14576,6612,14707,8665,14670,18216,31995,23440,20458
"Afu1g06400-T",2245,1053,1458,1594,1002,3148,1374,1672,1483,947,1351,626,553,496
"Afu1g06410-T",1440,678,874,1061,598,1819,1565,1744,1917,862,1052,194,136,143
"Afu1g06420-T",166,72,126,139,103,209,75,114,81,66,107,74,51,51
"Afu1g06430-T",31,12,28,20,20,36,9,8,12,6,24,18,15,8
"Afu1g06440-T",700,341,473,440,362,969,178,274,267,142,286,209,149,169
"Afu1g06450-T",685,432,457,615,570,1039,381,439,496,413,765,397,335,256
"Afu1g06460-T",40,13,23,26,32,47,7,24,16,26,45,28,11,23
"Afu1g06470-T",32,13,30,14,9,52,8,5,7,11,13,8,4,8
"Afu1g06480-T",46,14,23,21,12,110,27,61,57,28,51,9,10,14
"Afu1g06490-T",84,37,51,43,33,89,34,39,47,46,61,23,30,27
"Afu1g06500-T",149,47,72,103,61,191,53,103,120,64,110,53,33,34
"Afu1g06510-T",133,57,89,88,49,163,30,45,69,48,67,32,23,19
